,Model,Train,Question ID,Correct,Source,Topic,Labels,Case Study,Test Question,Num Choices,Num Correct,APDVS,CC1
608,gemini-2.0-flash-001,RAG_500,26.2,0,case_studies,aortic disorders,None,1,0,6,5,0,0
609,gemini-2.0-flash-001,RAG_500,15.8,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
610,gemini-2.0-flash-001,RAG_500,42,0,racs,other,None,0,0,4,3,0,0
611,gemini-2.0-flash-001,RAG_500,424,0,case_studies,aortic disorders,None,0,1,4,1,0,1
612,gemini-2.0-flash-001,RAG_500,58,0,racs,venuous disease,None,0,0,4,4,0,0
613,gemini-2.0-flash-001,RAG_500,399,1,apdvs,aortic disorders,None,0,0,4,1,1,1
614,gemini-2.0-flash-001,RAG_500,379,1,apdvs,lower extremity arterial disease,None,1,0,5,1,1,1
615,gemini-2.0-flash-001,RAG_500,29,0,racs,venuous disease,None,0,0,4,3,0,0
616,gemini-2.0-flash-001,RAG_500,388,1,apdvs,lower extremity arterial disease,None,1,0,4,1,1,1
617,gemini-2.0-flash-001,RAG_500,369,1,apdvs,carotid disorders,None,1,0,5,1,1,1
618,gemini-2.0-flash-001,RAG_500,24.3,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
619,gemini-2.0-flash-001,RAG_500,3b,1,apdvs,lower extremity arterial disease, fu,1,0,5,1,1,1
620,gemini-2.0-flash-001,RAG_500,441,0,case_studies,endovascular surgery,None,0,0,4,2,0,0
621,gemini-2.0-flash-001,RAG_500,372,1,apdvs,carotid disorders,None,1,0,5,1,1,1
622,gemini-2.0-flash-001,RAG_500,411,0,case_studies,aortic disorders,None,0,0,4,2,0,0
623,gemini-2.0-flash-001,RAG_500,421,0,case_studies,aortic disorders,None,0,0,5,3,0,0
624,gemini-2.0-flash-001,RAG_500,42.2,1,case_studies,aortic disorders,None,0,0,4,1,0,1
625,gemini-2.0-flash-001,RAG_500,43.9,0,case_studies,venuous disease,None,1,0,6,1,0,1
626,gemini-2.0-flash-001,RAG_500,24,0,racs,venuous disease,None,0,0,4,3,0,0
627,gemini-2.0-flash-001,RAG_500,33,1,racs,venuous disease,None,0,0,4,3,0,0
628,gemini-2.0-flash-001,RAG_500,50,0,racs,carotid disorders,None,0,0,4,1,0,1
629,gemini-2.0-flash-001,RAG_500,51,0,racs,aortic disorders,None,0,0,4,4,0,0
630,gemini-2.0-flash-001,RAG_500,27.2,1,case_studies,other,None,0,1,4,1,0,1
631,gemini-2.0-flash-001,RAG_500,41.9,0,case_studies,aortic disorders,None,1,0,7,5,0,0
632,gemini-2.0-flash-001,RAG_500,38.5,0,case_studies,other,None,0,1,4,1,0,1
633,gemini-2.0-flash-001,RAG_500,75,1,prep,other,None,1,0,4,1,0,1
634,gemini-2.0-flash-001,RAG_500,27.3,1,case_studies,lower extremity arterial disease,None,0,0,4,3,0,0
635,gemini-2.0-flash-001,RAG_500,35.4,0,case_studies,carotid disorders,None,0,0,5,1,0,1
636,gemini-2.0-flash-001,RAG_500,26.8,0,case_studies,lower extremity arterial disease,None,0,0,6,5,0,0
637,gemini-2.0-flash-001,RAG_500,39.1,0,case_studies,venuous disease,None,1,0,7,3,0,0
638,gemini-2.0-flash-001,RAG_500,50.5,0,case_studies,venuous disease,None,0,1,5,1,0,1
639,gemini-2.0-flash-001,RAG_500,30.3,1,case_studies,endovascular surgery,None,0,0,5,1,0,1
640,gemini-2.0-flash-001,RAG_500,427,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
641,gemini-2.0-flash-001,RAG_500,50.ten,1,case_studies,venuous disease,None,0,1,5,1,0,1
642,gemini-2.0-flash-001,RAG_500,49.6,0,case_studies,venuous disease,None,0,0,4,3,0,0
643,gemini-2.0-flash-001,RAG_500,14.2,0,case_studies,lower extremity arterial disease,None,0,1,4,1,0,1
644,gemini-2.0-flash-001,RAG_500,20.8,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
645,gemini-2.0-flash-001,RAG_500,378,1,apdvs,aortic disorders,None,0,1,5,1,1,1
646,gemini-2.0-flash-001,RAG_500,1b,1,apdvs,carotid disorders, sq,1,0,5,1,1,1
647,gemini-2.0-flash-001,RAG_500,56.4,0,case_studies,venuous disease,None,1,0,5,1,0,1
648,gemini-2.0-flash-001,RAG_500,10b,0,apdvs,lower extremity arterial disease, sq,1,0,4,1,1,1
649,gemini-2.0-flash-001,RAG_500,33.3,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
650,gemini-2.0-flash-001,RAG_500,3a,1,apdvs,lower extremity arterial disease, lq,0,0,5,1,1,1
651,gemini-2.0-flash-001,RAG_500,41.8,1,case_studies,aortic disorders,None,1,1,4,1,0,1
652,gemini-2.0-flash-001,RAG_500,382,1,apdvs,lower extremity arterial disease,None,1,1,4,1,1,1
653,gemini-2.0-flash-001,RAG_500,45.2,0,case_studies,lower extremity arterial disease,None,1,0,6,1,0,1
654,gemini-2.0-flash-001,RAG_500,435,0,case_studies,aortic disorders,None,0,0,5,2,0,0
655,gemini-2.0-flash-001,RAG_500,391,1,apdvs,venuous disease,None,1,0,4,1,1,1
656,gemini-2.0-flash-001,RAG_500,22.5,1,case_studies,lower extremity arterial disease,None,0,0,3,1,0,1
657,gemini-2.0-flash-001,RAG_500,6b,1,apdvs,lower extremity arterial disease, sq,1,1,5,1,1,1
658,gemini-2.0-flash-001,RAG_500,22.1,0,case_studies,lower extremity arterial disease,None,1,1,4,3,0,0
659,gemini-2.0-flash-001,RAG_500,37.2,0,case_studies,aortic disorders,None,1,1,4,1,0,1
660,gemini-2.0-flash-001,RAG_500,68,0,abvm,lower extremity arterial disease,None,0,0,4,3,0,0
661,gemini-2.0-flash-001,RAG_500,59,0,racs,carotid disorders,None,0,1,4,2,0,0
662,gemini-2.0-flash-001,RAG_500,432,0,case_studies,aortic disorders,None,0,0,5,4,0,0
663,gemini-2.0-flash-001,RAG_500,46.7,0,case_studies,venuous disease,None,0,1,5,1,0,1
664,gemini-2.0-flash-001,RAG_500,24.4,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
665,gemini-2.0-flash-001,RAG_500,46.2,1,case_studies,venuous disease,None,1,0,4,1,0,1
666,gemini-2.0-flash-001,RAG_500,43.ten,0,case_studies,venuous disease,None,1,0,5,1,0,1
667,gemini-2.0-flash-001,RAG_500,14.4,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
668,gemini-2.0-flash-001,RAG_500,383,1,apdvs,lower extremity arterial disease,None,1,0,4,1,1,1
669,gemini-2.0-flash-001,RAG_500,36.4,0,case_studies,carotid disorders,None,0,1,3,1,0,1
670,gemini-2.0-flash-001,RAG_500,63,0,racs,aortic disorders,None,0,0,4,2,0,0
671,gemini-2.0-flash-001,RAG_500,370,0,apdvs,carotid disorders,None,1,0,5,1,1,1
672,gemini-2.0-flash-001,RAG_500,48.5,0,case_studies,venuous disease,None,0,0,4,2,0,0
673,gemini-2.0-flash-001,RAG_500,28.4,0,case_studies,aortic disorders,None,1,0,4,1,0,1
674,gemini-2.0-flash-001,RAG_500,43.8,1,case_studies,venuous disease,None,1,1,5,1,0,1
675,gemini-2.0-flash-001,RAG_500,16.9,1,case_studies,aortic disorders,None,0,0,5,1,0,1
676,gemini-2.0-flash-001,RAG_500,56.ten,0,case_studies,venuous disease,None,1,1,5,1,0,1
677,gemini-2.0-flash-001,RAG_500,16,1,racs,other,None,0,0,4,4,0,0
678,gemini-2.0-flash-001,RAG_500,18.1,1,case_studies,lower extremity arterial disease,None,1,0,5,4,0,0
679,gemini-2.0-flash-001,RAG_500,16.1,0,case_studies,other,None,1,0,4,1,0,1
680,gemini-2.0-flash-001,RAG_500,4a,1,apdvs,lower extremity arterial disease, lq,1,1,4,1,1,1
681,gemini-2.0-flash-001,RAG_500,52.4,1,case_studies,venuous disease,None,1,0,5,1,0,1
682,gemini-2.0-flash-001,RAG_500,55,0,racs,venuous disease,None,0,0,4,2,0,0
683,gemini-2.0-flash-001,RAG_500,15.5,0,case_studies,lower extremity arterial disease,None,1,0,5,2,0,0
684,gemini-2.0-flash-001,RAG_500,436,0,case_studies,aortic disorders,None,1,1,5,1,0,1
685,gemini-2.0-flash-001,RAG_500,14.6,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
686,gemini-2.0-flash-001,RAG_500,443,0,case_studies,venuous disease,None,0,0,5,1,0,1
687,gemini-2.0-flash-001,RAG_500,19,0,racs,venuous disease,None,0,0,4,2,0,0
688,gemini-2.0-flash-001,RAG_500,30,0,racs,other,None,0,0,4,2,0,0
689,gemini-2.0-flash-001,RAG_500,34.6,0,case_studies,carotid disorders,None,1,0,4,1,0,1
690,gemini-2.0-flash-001,RAG_500,47.3,0,case_studies,venuous disease,None,1,1,4,4,0,0
691,gemini-2.0-flash-001,RAG_500,56,0,racs,lower extremity arterial disease,None,0,0,4,2,0,0
692,gemini-2.0-flash-001,RAG_500,27.5,0,case_studies,lower extremity arterial disease,None,1,0,4,2,0,0
693,gemini-2.0-flash-001,RAG_500,33.5,0,case_studies,other,None,0,0,4,1,0,1
694,gemini-2.0-flash-001,RAG_500,54.1,0,case_studies,venuous disease,None,1,0,5,1,0,1
695,gemini-2.0-flash-001,RAG_500,55.1,0,case_studies,aortic disorders,None,1,0,4,1,0,1
696,gemini-2.0-flash-001,RAG_500,374,1,apdvs,aortic disorders,None,1,0,5,1,1,1
697,gemini-2.0-flash-001,RAG_500,10a,0,apdvs,lower extremity arterial disease, lq,1,0,4,1,1,1
698,gemini-2.0-flash-001,RAG_500,1a,1,apdvs,carotid disorders, lq,1,0,5,1,1,1
699,gemini-2.0-flash-001,RAG_500,27.11,0,case_studies,lower extremity arterial disease,None,1,0,4,4,0,0
700,gemini-2.0-flash-001,RAG_500,53.1,1,case_studies,venuous disease,None,1,0,5,1,0,1
701,gemini-2.0-flash-001,RAG_500,30.4,0,case_studies,aortic disorders,None,0,1,5,2,0,0
702,gemini-2.0-flash-001,RAG_500,11b,1,apdvs,aortic disorders, sq,1,0,5,1,1,1
703,gemini-2.0-flash-001,RAG_500,18.3,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
704,gemini-2.0-flash-001,RAG_500,25,0,racs,venuous disease,None,0,1,4,2,0,0
705,gemini-2.0-flash-001,RAG_500,3ba,1,apdvs,lower extremity arterial disease, sq,1,0,5,1,1,1
706,gemini-2.0-flash-001,RAG_500,56.5,0,case_studies,venuous disease,None,0,0,5,1,0,1
707,gemini-2.0-flash-001,RAG_500,32.4,1,case_studies,aortic disorders,None,0,0,5,1,0,1
708,gemini-2.0-flash-001,RAG_500,43.5,1,case_studies,venuous disease,None,1,0,5,1,0,1
709,gemini-2.0-flash-001,RAG_500,38.3,0,case_studies,other,None,0,0,5,3,0,0
710,gemini-2.0-flash-001,RAG_500,397,1,apdvs,lower extremity arterial disease,None,0,0,5,1,1,1
711,gemini-2.0-flash-001,RAG_500,426,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
712,gemini-2.0-flash-001,RAG_500,15.7,0,case_studies,venuous disease,None,1,1,5,2,0,0
713,gemini-2.0-flash-001,RAG_500,21,1,racs,aortic disorders,None,0,1,4,1,0,1
714,gemini-2.0-flash-001,RAG_500,54.6,0,case_studies,venuous disease,None,1,0,4,2,0,0
715,gemini-2.0-flash-001,RAG_500,408,0,case_studies,aortic disorders,None,0,0,4,1,0,1
716,gemini-2.0-flash-001,RAG_500,428,1,case_studies,lower extremity arterial disease,None,0,0,2,1,0,1
717,gemini-2.0-flash-001,RAG_500,439,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
718,gemini-2.0-flash-001,RAG_500,450,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
719,gemini-2.0-flash-001,RAG_500,49.7,0,case_studies,venuous disease,None,0,0,4,2,0,0
720,gemini-2.0-flash-001,RAG_500,13,0,racs,other,None,0,1,5,1,0,1
721,gemini-2.0-flash-001,RAG_500,33.2,0,case_studies,venuous disease,None,0,0,5,2,0,0
722,gemini-2.0-flash-001,RAG_500,422,0,case_studies,aortic disorders,None,0,0,4,4,0,0
723,gemini-2.0-flash-001,RAG_500,6a,1,apdvs,carotid disorders, lq,1,1,5,1,1,1
724,gemini-2.0-flash-001,RAG_500,18.7,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
725,gemini-2.0-flash-001,RAG_500,24.1,0,case_studies,lower extremity arterial disease,None,0,1,5,2,0,0
726,gemini-2.0-flash-001,RAG_500,36,0,racs,carotid disorders,None,0,0,4,2,0,0
727,gemini-2.0-flash-001,RAG_500,48.7,0,case_studies,venuous disease,None,0,1,5,3,0,0
728,gemini-2.0-flash-001,RAG_500,46.4,0,case_studies,other,None,1,0,5,1,0,1
729,gemini-2.0-flash-001,RAG_500,24.5,0,case_studies,lower extremity arterial disease,None,0,0,5,3,0,0
730,gemini-2.0-flash-001,RAG_500,41.1,0,case_studies,aortic disorders,None,1,0,5,2,0,0
731,gemini-2.0-flash-001,RAG_500,22,0,racs,other,None,0,0,4,3,0,0
732,gemini-2.0-flash-001,RAG_500,53.2,1,case_studies,venuous disease,None,0,0,4,1,0,1
733,gemini-2.0-flash-001,RAG_500,390,1,apdvs,lower extremity arterial disease,None,0,0,5,1,1,1
734,gemini-2.0-flash-001,RAG_500,27.9,0,case_studies,lower extremity arterial disease,None,1,0,3,1,0,1
735,gemini-2.0-flash-001,RAG_500,18.4,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
736,gemini-2.0-flash-001,RAG_500,381,1,apdvs,lower extremity arterial disease,None,1,0,5,1,1,1
737,gemini-2.0-flash-001,RAG_500,47.4,0,case_studies,venuous disease,None,0,0,4,4,0,0
738,gemini-2.0-flash-001,RAG_500,70,0,abvm,lower extremity arterial disease,None,0,0,4,1,0,1
739,gemini-2.0-flash-001,RAG_500,42.5,0,case_studies,aortic disorders,None,1,0,5,1,0,1
740,gemini-2.0-flash-001,RAG_500,30.5,0,case_studies,aortic disorders,None,1,1,4,1,0,1
741,gemini-2.0-flash-001,RAG_500,18.9,0,case_studies,aortic disorders,None,1,0,5,1,0,1
742,gemini-2.0-flash-001,RAG_500,44.1,1,case_studies,venuous disease,None,0,0,3,1,0,1
743,gemini-2.0-flash-001,RAG_500,45,0,racs,aortic disorders,None,0,0,4,3,0,0
744,gemini-2.0-flash-001,RAG_500,15.1,0,case_studies,lower extremity arterial disease,None,1,0,5,2,0,0
745,gemini-2.0-flash-001,RAG_500,83,1,prep,venuous disease,None,1,0,4,1,0,1
746,gemini-2.0-flash-001,RAG_500,49.3,0,case_studies,venuous disease,None,0,0,5,2,0,0
747,gemini-2.0-flash-001,RAG_500,404,1,apdvs,aortic disorders,None,1,0,4,1,1,1
748,gemini-2.0-flash-001,RAG_500,394,1,apdvs,venuous disease,None,0,0,4,1,1,1
749,gemini-2.0-flash-001,RAG_500,17.5,0,case_studies,lower extremity arterial disease,None,1,1,5,1,0,1
750,gemini-2.0-flash-001,RAG_500,16.8,0,case_studies,aortic disorders,None,0,0,6,6,0,0
751,gemini-2.0-flash-001,RAG_500,37.1,0,case_studies,aortic disorders,None,1,0,5,1,0,1
752,gemini-2.0-flash-001,RAG_500,14.3,0,case_studies,lower extremity arterial disease,None,0,0,4,2,0,0
753,gemini-2.0-flash-001,RAG_500,48.6,0,case_studies,venuous disease,None,0,0,5,3,0,0
754,gemini-2.0-flash-001,RAG_500,418,1,case_studies,aortic disorders,None,0,1,4,1,0,1
755,gemini-2.0-flash-001,RAG_500,46.8,1,case_studies,venuous disease,None,0,0,5,1,0,1
756,gemini-2.0-flash-001,RAG_500,76,1,prep,lower extremity arterial disease,None,1,0,4,1,0,1
757,gemini-2.0-flash-001,RAG_500,43.6,1,case_studies,venuous disease,None,1,0,5,1,0,1
758,gemini-2.0-flash-001,RAG_500,17,0,racs,aortic disorders,None,0,0,4,3,0,0
759,gemini-2.0-flash-001,RAG_500,42.4,1,case_studies,aortic disorders,None,0,1,5,1,0,1
760,gemini-2.0-flash-001,RAG_500,54.3,0,case_studies,venuous disease,None,1,0,5,1,0,1
761,gemini-2.0-flash-001,RAG_500,49,0,racs,other,None,0,0,4,2,0,0
762,gemini-2.0-flash-001,RAG_500,38.2,0,case_studies,venuous disease,None,0,0,8,7,0,0
763,gemini-2.0-flash-001,RAG_500,14,1,racs,other,None,0,0,4,1,0,1
764,gemini-2.0-flash-001,RAG_500,60,0,racs,lower extremity arterial disease,None,0,0,4,2,0,0
765,gemini-2.0-flash-001,RAG_500,90,0,prep,other,None,1,0,4,1,0,1
766,gemini-2.0-flash-001,RAG_500,26.3,0,case_studies,aortic disorders,None,0,0,5,3,0,0
767,gemini-2.0-flash-001,RAG_500,433,0,case_studies,aortic disorders,None,1,0,5,3,0,0
768,gemini-2.0-flash-001,RAG_500,56.2,0,case_studies,venuous disease,None,1,0,5,1,0,1
769,gemini-2.0-flash-001,RAG_500,54,0,racs,other,None,0,0,4,3,0,0
770,gemini-2.0-flash-001,RAG_500,33.4,0,case_studies,venuous disease,None,0,1,4,2,0,0
771,gemini-2.0-flash-001,RAG_500,16.2,1,case_studies,aortic disorders,None,1,0,4,1,0,1
772,gemini-2.0-flash-001,RAG_500,415,0,case_studies,aortic disorders,None,0,0,5,1,0,1
773,gemini-2.0-flash-001,RAG_500,40.2,0,case_studies,venuous disease,None,1,0,5,4,0,0
774,gemini-2.0-flash-001,RAG_500,41.3,0,case_studies,aortic disorders,None,1,0,8,4,0,0
775,gemini-2.0-flash-001,RAG_500,43.7,0,case_studies,venuous disease,None,1,0,5,1,0,1
776,gemini-2.0-flash-001,RAG_500,38.8,0,case_studies,other,None,0,0,5,1,0,1
777,gemini-2.0-flash-001,RAG_500,38.1,0,case_studies,other,None,0,0,5,1,0,1
778,gemini-2.0-flash-001,RAG_500,28,1,racs,other,None,0,0,4,3,0,0
779,gemini-2.0-flash-001,RAG_500,48.9,0,case_studies,venuous disease,None,0,1,4,2,0,0
780,gemini-2.0-flash-001,RAG_500,375,1,apdvs,aortic disorders,None,1,0,5,1,1,1
781,gemini-2.0-flash-001,RAG_500,3ca,1,apdvs,lower extremity arterial disease, sq,1,0,5,1,1,1
782,gemini-2.0-flash-001,RAG_500,17.2,1,case_studies,lower extremity arterial disease,None,1,0,6,1,0,1
783,gemini-2.0-flash-001,RAG_500,45.6,1,case_studies,lower extremity arterial disease,None,0,0,5,1,0,1
784,gemini-2.0-flash-001,RAG_500,46.6,1,case_studies,venuous disease,None,0,0,5,1,0,1
785,gemini-2.0-flash-001,RAG_500,16.7,0,case_studies,aortic disorders,None,0,1,5,2,0,0
786,gemini-2.0-flash-001,RAG_500,33.1,0,case_studies,venuous disease,None,1,0,4,1,0,1
787,gemini-2.0-flash-001,RAG_500,27.1,0,case_studies,lower extremity arterial disease,None,1,1,4,3,0,0
788,gemini-2.0-flash-001,RAG_500,41.5,1,case_studies,aortic disorders,None,1,0,5,1,0,1
789,gemini-2.0-flash-001,RAG_500,41.2,0,case_studies,aortic disorders,None,1,0,5,2,0,0
790,gemini-2.0-flash-001,RAG_500,41,0,racs,other,None,0,0,4,2,0,0
791,gemini-2.0-flash-001,RAG_500,84,1,prep,other,None,1,0,4,1,0,1
792,gemini-2.0-flash-001,RAG_500,44.4,0,case_studies,lower extremity arterial disease,None,0,0,5,2,0,0
793,gemini-2.0-flash-001,RAG_500,52.6,0,case_studies,venuous disease,None,1,0,4,2,0,0
794,gemini-2.0-flash-001,RAG_500,32.2,0,case_studies,aortic disorders,None,0,0,5,1,0,1
795,gemini-2.0-flash-001,RAG_500,46.9,1,case_studies,venuous disease,None,0,0,5,1,0,1
796,gemini-2.0-flash-001,RAG_500,34.5,0,case_studies,carotid disorders,None,1,1,2,1,0,1
797,gemini-2.0-flash-001,RAG_500,380,0,apdvs,lower extremity arterial disease,None,0,0,5,1,1,1
798,gemini-2.0-flash-001,RAG_500,56.7,0,case_studies,venuous disease,None,1,0,5,1,0,1
799,gemini-2.0-flash-001,RAG_500,40.3,1,case_studies,venuous disease,None,1,0,5,1,0,1
800,gemini-2.0-flash-001,RAG_500,393,1,apdvs,venuous disease,None,0,0,4,1,1,1
801,gemini-2.0-flash-001,RAG_500,35.2,0,case_studies,aortic disorders,None,1,0,5,2,0,0
802,gemini-2.0-flash-001,RAG_500,3aa,1,apdvs,lower extremity arterial disease, sq,0,0,4,1,1,1
803,gemini-2.0-flash-001,RAG_500,18.2,0,case_studies,lower extremity arterial disease,None,1,1,4,2,0,0
804,gemini-2.0-flash-001,RAG_500,19.1,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
805,gemini-2.0-flash-001,RAG_500,414,0,case_studies,aortic disorders,None,0,1,5,1,0,1
806,gemini-2.0-flash-001,RAG_500,50.2,1,case_studies,venuous disease,None,0,0,5,1,0,1
807,gemini-2.0-flash-001,RAG_500,67,0,racs,aortic disorders,None,0,0,4,2,0,0
808,gemini-2.0-flash-001,RAG_500,46.11,1,case_studies,venuous disease,None,0,0,5,1,0,1
809,gemini-2.0-flash-001,RAG_500,69,0,abvm,venuous disease,None,0,0,4,1,0,1
810,gemini-2.0-flash-001,RAG_500,50.3,1,case_studies,venuous disease,None,1,0,5,1,0,1
811,gemini-2.0-flash-001,RAG_500,371,1,apdvs,carotid disorders,None,1,1,5,1,1,1
812,gemini-2.0-flash-001,RAG_500,15.6,1,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
813,gemini-2.0-flash-001,RAG_500,5a,1,apdvs,lower extremity arterial disease, lq,1,0,4,1,1,1
814,gemini-2.0-flash-001,RAG_500,45.1,1,case_studies,lower extremity arterial disease,None,0,0,5,1,0,1
815,gemini-2.0-flash-001,RAG_500,44.5,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
816,gemini-2.0-flash-001,RAG_500,23.4,0,case_studies,lower extremity arterial disease,None,1,0,3,1,0,1
817,gemini-2.0-flash-001,RAG_500,395,1,apdvs,venuous disease,None,0,0,4,1,1,1
818,gemini-2.0-flash-001,RAG_500,377,1,apdvs,carotid disorders,None,1,0,5,1,1,1
819,gemini-2.0-flash-001,RAG_500,50.1,0,case_studies,venuous disease,None,0,1,5,1,0,1
820,gemini-2.0-flash-001,RAG_500,43.2,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
821,gemini-2.0-flash-001,RAG_500,386,1,apdvs,lower extremity arterial disease,None,1,1,5,1,1,1
822,gemini-2.0-flash-001,RAG_500,35.5,0,case_studies,carotid disorders,None,1,0,5,1,0,1
823,gemini-2.0-flash-001,RAG_500,52,0,racs,other,None,0,0,4,4,0,0
824,gemini-2.0-flash-001,RAG_500,23.1,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
825,gemini-2.0-flash-001,RAG_500,8b,1,apdvs,venuous disease, sq,1,0,4,1,1,1
826,gemini-2.0-flash-001,RAG_500,41.ten,0,case_studies,aortic disorders,None,1,0,5,1,0,1
827,gemini-2.0-flash-001,RAG_500,413,1,case_studies,aortic disorders,None,1,1,5,1,0,1
828,gemini-2.0-flash-001,RAG_500,5b,1,apdvs,lower extremity arterial disease, sq,1,0,4,1,1,1
829,gemini-2.0-flash-001,RAG_500,28.1,0,case_studies,aortic disorders,None,1,0,5,4,0,0
830,gemini-2.0-flash-001,RAG_500,15,0,racs,other,None,0,1,4,3,0,0
831,gemini-2.0-flash-001,RAG_500,16.6,1,case_studies,endovascular surgery,None,0,0,5,2,0,0
832,gemini-2.0-flash-001,RAG_500,51.3,0,case_studies,venuous disease,None,0,0,5,1,0,1
833,gemini-2.0-flash-001,RAG_500,26.7,0,case_studies,venuous disease,None,0,0,6,1,0,1
834,gemini-2.0-flash-001,RAG_500,39.4,1,case_studies,venuous disease,None,1,0,5,1,0,1
835,gemini-2.0-flash-001,RAG_500,47.6,0,case_studies,venuous disease,None,1,0,4,1,0,1
836,gemini-2.0-flash-001,RAG_500,48,1,racs,other,None,0,0,4,2,0,0
837,gemini-2.0-flash-001,RAG_500,27,0,racs,carotid disorders,None,0,1,4,4,0,0
838,gemini-2.0-flash-001,RAG_500,46.ten,1,case_studies,venuous disease,None,0,0,5,1,0,1
839,gemini-2.0-flash-001,RAG_500,43.1,1,case_studies,aortic disorders,None,1,1,5,1,0,1
840,gemini-2.0-flash-001,RAG_500,16.3,1,case_studies,aortic disorders,None,1,0,4,1,0,1
841,gemini-2.0-flash-001,RAG_500,22.4,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
842,gemini-2.0-flash-001,RAG_500,19.2,0,case_studies,lower extremity arterial disease,None,1,1,5,1,0,1
843,gemini-2.0-flash-001,RAG_500,21.2,0,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
844,gemini-2.0-flash-001,RAG_500,23.3,0,case_studies,lower extremity arterial disease,None,1,0,7,1,0,1
845,gemini-2.0-flash-001,RAG_500,79,1,prep,venuous disease,None,1,0,4,1,0,1
846,gemini-2.0-flash-001,RAG_500,54.5,0,case_studies,venuous disease,None,1,0,5,2,0,0
847,gemini-2.0-flash-001,RAG_500,57.5,0,case_studies,venuous disease,None,0,0,3,2,0,0
848,gemini-2.0-flash-001,RAG_500,425,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
849,gemini-2.0-flash-001,RAG_500,17.4,1,case_studies,lower extremity arterial disease,None,1,0,8,1,0,1
850,gemini-2.0-flash-001,RAG_500,12,0,racs,other,None,0,1,4,2,0,0
851,gemini-2.0-flash-001,RAG_500,50.4,1,case_studies,venuous disease,None,0,0,5,3,0,0
852,gemini-2.0-flash-001,RAG_500,407,1,case_studies,aortic disorders,None,0,0,4,1,0,1
853,gemini-2.0-flash-001,RAG_500,37,0,racs,lower extremity arterial disease,None,0,1,4,3,0,0
854,gemini-2.0-flash-001,RAG_500,57,0,racs,other,None,0,0,4,3,0,0
855,gemini-2.0-flash-001,RAG_500,35,1,racs,other,None,0,0,4,2,0,0
856,gemini-2.0-flash-001,RAG_500,21.3,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
857,gemini-2.0-flash-001,RAG_500,28.3,0,case_studies,aortic disorders,None,1,0,4,4,0,0
858,gemini-2.0-flash-001,RAG_500,44.2,1,case_studies,lower extremity arterial disease,None,0,1,4,2,0,0
859,gemini-2.0-flash-001,RAG_500,403,0,apdvs,other,None,1,0,4,1,1,1
860,gemini-2.0-flash-001,RAG_500,30.2,0,case_studies,lower extremity arterial disease,None,1,0,5,3,0,0
861,gemini-2.0-flash-001,RAG_500,409,0,case_studies,aortic disorders,None,0,0,4,3,0,0
862,gemini-2.0-flash-001,RAG_500,42.3,0,case_studies,aortic disorders,None,0,0,5,1,0,1
863,gemini-2.0-flash-001,RAG_500,42.1,1,case_studies,aortic disorders,None,0,0,4,1,0,1
864,gemini-2.0-flash-001,RAG_500,27.4,1,case_studies,lower extremity arterial disease,None,0,1,4,3,0,0
865,gemini-2.0-flash-001,RAG_500,85,0,prep,other,None,1,0,4,1,0,1
866,gemini-2.0-flash-001,RAG_500,47.1,0,case_studies,venuous disease,None,0,0,4,1,0,1
867,gemini-2.0-flash-001,RAG_500,3c,1,apdvs,lower extremity arterial disease, fu,1,0,5,1,1,1
868,gemini-2.0-flash-001,RAG_500,53.4,1,case_studies,venuous disease,None,1,1,4,1,0,1
869,gemini-2.0-flash-001,RAG_500,31.5,0,case_studies,aortic disorders,None,0,0,4,4,0,0
870,gemini-2.0-flash-001,RAG_500,18.ten,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
871,gemini-2.0-flash-001,RAG_500,44,1,racs,lower extremity arterial disease,None,0,0,4,2,0,0
872,gemini-2.0-flash-001,RAG_500,37.3,0,case_studies,aortic disorders,None,1,1,4,1,0,1
873,gemini-2.0-flash-001,RAG_500,78,1,prep,venuous disease,None,1,1,4,1,0,1
