question_id,source,labels,topic,question,answer,explanation
443,case_studies,gk,venuous disease,"Which of the following statements regarding ultrasound-guided thrombin injection is/are true?
A. It requires direct injection of thrombin into the neck of the false aneurysm
B. It involves simultaneous compression of the false aneurysm
C. It is less painful but less effective than UGCR
D. It works well in anticoagulated patients
E. It is appropriate only for femoral false aneurysms",D,
444,case_studies,gk,venuous disease,"What are the reported complications of thrombin injection?
A. Anaphylaxis
B. Intra-arterial thrombosis
C. Prolonged urticaria
D. Mad cow disease","A, B, C",
445,case_studies,gk,lower extremity arterial disease,"Which of the following can differentiate native arterial or graft thrombosis from embolic occlusion?
A. The presence of palpable pulses in the contralateral extremity
B. A history of cardiac arrhythmias
C. The location of the occlusion
D. The degree of profound ischemia in the affected extremity
E. All of the above",E,
446,case_studies,cs,aortic disorders,"A 72-year-old female presents with a 2-week history of abdominal/back pain and lower extremity fatigue. She was evaluated by her physician and diagnosed with lumbosacral neuritis. Initial treatment involved lumbar corticosteroid injections. Secondary to sudden onset lower extremity weakness she presented to the emergency department. Her past history included diabetes, hyperlipidemia, and obesity. In the past month, she had undergone heart catheterization which was significant for multi-vessel coronary artery disease. She denied any prior surgeries.
On examination, her pulse is 75 bpm, and blood pressure is 175/60. Heart sounds reveal a regular rhythm. The abdomen is soft and nontender. She has absent pulses and diminished strength in both lower extremities. Both feet are insensate. There are venous Doppler signals in the feet, but no arterial signals. Creatinine on arrival was 0.9 mg/dL, and white blood cell count was 23,000. Pre-operative CTA demonstrates infrarenal aortic occlusion with bilateral renal infarcts.
What is the SVS/ISCVS category of limb ischemia in this patient?
A. Category I
B. Category II a
C. Category II b
D. Category III",C,"This patient has Category IIb limb ischemia characterized by lack of
distal arterial signals in the foot, sensory loss, and motor weakness."
447,case_studies,gk,lower extremity arterial disease,"What sign differentiates SVS/ISCVS Category IIa from IIb ischemia?
A. Pulselessness
B. Sensory loss
C. Motor loss
D. Loss of venous doppler signals",C,"Motor loss separates Category IIa from IIb ischemia and determines the urgency on which
to proceed to revascularization."
448,case_studies,gk,lower extremity arterial disease,"Which of the following describes the sequence of events of acute embolism?
A. Pulselessness, pain, pallor, paresthesia, paralysis
B. Paralysis, pain, paresthesia, pulselessness, pallor
C. Pulselessness, pain, pallor, paralysis, paresthesia",A,
449,case_studies,cs,aortic disorders,"A 72-year-old female presents with a 2-week history of abdominal/back pain and lower extremity fatigue. She was evaluated by her physician and diagnosed with lumbosacral neuritis. Initial treatment involved lumbar corticosteroid injections. Secondary to sudden onset lower extremity weakness she presented to the emergency department. Her past history included diabetes, hyperlipidemia, and obesity. In the past month, she had undergone heart catheterization which was significant for multi-vessel coronary artery disease. She denied any prior surgeries.
On examination, her pulse is 75 bpm, and blood pressure is 175/60. Heart sounds reveal a regular rhythm. The abdomen is soft and nontender. She has absent pulses and diminished strength in both lower extremities. Both feet are insensate. There are venous Doppler signals in the feet, but no arterial signals. Creatinine on arrival was 0.9 mg/dL, and white blood cell count was 23,000. Pre-operative CTA demonstrates infrarenal aortic occlusion with bilateral renal infarcts.
Treatment options for this patient include which of the following:
A. Aortobifemoral bypass
B. Operative thrombo-embolectomy
C. Extra-anatomic bypass
D. Mechanical thrombectomy, thrombolysis and endovascular intervention
E. Intravenous thrombolysis
F. Anticoagulation with heparin and coumadin","B, C, D",
450,case_studies,gk,lower extremity arterial disease,"What is the most frequent complication during thrombolytic therapy for peripheral arterial occlusion?
A. Pulmonary failure
B. Myocardial infarction
C. Intracranial hemorrhage
D. Vascular access bleeding",D,
14.1,case_studies,gk,aortic disorders,"What is the aetiology of arterial embolism? Select all that apply.

A. The aetiology of arterial embolism is most frequently unknown.
B. The most frequent cause of arterial embolism is cardiac valve destruction by rheumatic heart disease or endocarditis.
C. The most frequent cause of arterial embolism is atrial fibrillation in association with atherosclerotic heart disease.
D. Deep venous thrombosis might represent a rare cause of arterial embolism.
E. Arterial embolism is most frequently seen in the presence of increased blood viscosity.","C, D",
14.2,case_studies,gk,lower extremity arterial disease,"What is the place of heparin in the treatment of arterial embolism?

A. Heparin can dissolve an arterial embolus, avoiding the need for subsequent operation.
B. Heparin will avoid subsequent arterial thrombosis, which can complicate treatment of arterial embolism.
C. Heparin will avoid subsequent arterial thrombosis, which can complicate treatment of arterial embolism. In addition, heparin will prevent recurrent emboli.
D. The use of heparin is contraindicated since it may lead to fragmentation of an arterial embolism and induce microembolisation in the peripheral arteries.",B,
14.3,case_studies,gk,lower extremity arterial disease,"What are the two preferred treatments of arterial embolism?

A. Local excision of the vessel and reconstruction with interposition graft.
B. Continued heparinisation and wait and see.
C. Simple Fogarty catheter embolectomy with peroperative angiographic control.
D. Simple Fogarty catheter embolectomy, but percutaneous aspiration thromboembolectomy might be a good alternative in selected cases.","C, D",
14.4,case_studies,gk,lower extremity arterial disease,"Which of the following is true about reperfusion syndrome after arterial embolectomy?

A. It will never be seen after peripheral but only after aortic embolism.
B. It cannot be prevented medically.
C. It will be prevented by early ambulation.
D. It is induced by metabolic acidosis and myoglobinuria.",D,
14.5,case_studies,gk,lower extremity arterial disease,"Which of the following is true about about fasciotomy?

A. It has become obsolete and swelling of the limb should be treated by elevation and bed rest.
B. It is best routinely performed in any patient, treated for arterial embolism of the lower limbs.
C. The indication to fasciotomy needs to be based on objective parameters such as the presence of reperfusion syndrome and postoperative compartmental pressure measurements.
D. In daily practice, the indication for fasciotomy is most frequently based on individual preference and clinical feeling.",D,
14.6,case_studies,cs,lower extremity arterial disease,"A 65-year-old man presented with acute severe pain in his right leg. Medical history
revealed non-insulin-dependent diabetes mellitus for 3 years and a myocardial
infarction (MI) some 5 years ago. The pain in the right leg developed suddenly over
6 h without associated trauma and became worse over time. On admission, the right
leg looked pale distally from the level of the knee. There was loss of light touch
sensation on examination of the foot. The patient had difficulties in wiggling the
toes. Plantarflexion and dorsiflexion of the toes were still possible. Palpation of the
calf showed soft but tender muscles. Clinical examination of the abdomen showed
no abnormalities. There was no pulsating mass. Irregular but bounding pulsations
were felt in the right femoral artery. Popliteal artery and tibial artery pulsations were
absent. Normal pulsations were felt in the left popliteal and posterior tibial artery.

With the diagnosis of acute arterial ischaemia in mind, a full dose of intravenous
heparin was administered immediately.

A chest film X-ray showed no abnormalities. Electrocardiogram (ECG) revealed
atrial fibrillation and signs of an old MI. Laboratory studies were normal. Duplex
examination showed a thrombotic occlusion of the right femoral bifurcation and the
superficial femoral artery. A weak flow sign was present in the popliteal artery. The
tibial arteries were not visualised.

After placement of a central venous catheter, the patient was taken to the operat-
ing theatre and the right femoral bifurcation was exposed under local anaesthesia. A transverse arteriotomy confirmed complete thrombotic occlusion of the femoral bifurcation. There was good inflow. Thrombi were removed from the femoral bifurcation, and pulsatile backflow was obtained from the profunda femoris artery. Multiple thrombi were removed from the superficial femoral artery and the popli- teal artery after several passages of Fogarty embolectomy catheters numbers 3 and 4.

Intraoperative angiography showed good patency of the superficial, popliteal and pero-
neal arteries. The anterior tibial artery was completely occluded. The posterior tibial was patent in its first portion but occluded distally. A small catheter was inserted into
the popliteal artery, and 350,000 units of urokinase were infused as a dripping infusion
over 30 min. Repeated angiography showed further clearance of the posterior tibial
artery to the level of the ankle joint. The anterior tibial artery was still occluded. It was
decided to accept the situation. The arteries were flushed with a diluted heparinised
saline solution, and the transverse arteriotomy was closed with the aid of a Dacron
patch. Sodium bicarbonate was administered intravenously before reperfusion.

Postoperatively, the foot was well vascularised and the patient was able to wiggle
his toes almost normally. Pulsations were felt in the posterior tibial artery.
Intravenous heparin was continued. Brisk diuresis was maintained with mannitol
and alkalisation of the urine. Repeated laboratory studies showed no evidence of
acidosis or hyperkalaemia.

Six hours postoperatively, the patient developed significant limb swelling with
augmentation of pain, venous hypertension and sensory impairment of the foot. A
perifibular fasciotomy to decompress all four compartments was performed under
general anaesthesia. Afterwards, the swelling subsided and the fasciotomy wound
was closed in a delayed primary fashion after 1 week.

With the pre- and peroperative diagnosis in mind, which of the following is true?

A. The patient should be placed under antiplatelet therapy postoperatively in order to prevent another episode of embolism.

B. Heparin and oral anticoagulants remain the treatment of choice during the post-operative period.

C. Subsequent investigation with regard to the source of the embolus is not necessary, because this will not change the medical treatment.

D. Postoperative investigation with regard to the source of embolism can be limited to cardiac examinations such as echocardiography and Holter monitoring.",B,
15.1,case_studies,cs,lower extremity arterial disease,"A 40-year-old male was admitted to the emergency room approximately 1.5 h
after sustaining a blast injury to both lower limbs. He had been resuscitated at
his local accident and emergency department prior to transfer. On arrival, his
pulse was 120 bpm and his blood pressure 80/40 mmHg.
Examination revealed that the patient had sustained significant blast injuries
to both lower limbs with no obvious torso injuries. The left leg had sustained
neurovascular damage above and below the knee with concomitant bone and
soft tissue injury; there was no tissue perfusion below the knee. On the right side
there was a large wound in the thigh extending anteriorly to the knee joint with
profuse bleeding; bony fragments could be seen in the wound and the right foot
was pale with no palpable pulses and slight reduction in sensation.

The priorities for the care of this patient include which of the following? Select all that apply.

A. Secure an airway, commence oxygen therapy and obtain adequate intravenous (IV) access.
B. Complete a full survey of the patient before transferring for further management.
C. Wait for blood result before deciding on transfer out of the emergency room.
D. Transfer the patient to theatre for definitive management during primary resuscitation.
E. Discuss treatment options with relatives.","A, D",
15.2,case_studies,gk,lower extremity arterial disease,"Which of the following are ""hard"" signs of vascular injury? Select all that apply.

A. Limb pain.
B. Absence of pulses.
C. Pallor or cyanosis.
D. Cool to the touch.
E. Bruit or thrill.","B, E",
15.3,case_studies,gk,aortic disorders,"Which of the following statements relating to angiography are true? Select all that apply.

A. Angiography should be performed in all patients to target surgery.
B. Angiography may be a useful tool in trauma patients with no hard signs of vascular injury.
C. Angiography is reserved for stable patients.
D. Angiography should only be performed in a radiology department.
E. The patient 's pre-morbid condition should not influence the decision to perform angiography.","B, C",
15.4,case_studies,cs,lower extremity arterial disease,"A 40-year-old male was admitted to the emergency room approximately 1.5 h
after sustaining a blast injury to both lower limbs. He had been resuscitated at
his local accident and emergency department prior to transfer. On arrival, his
pulse was 120 bpm and his blood pressure 80/40 mmHg.
Examination revealed that the patient had sustained significant blast injuries
to both lower limbs with no obvious torso injuries. The left leg had sustained
neurovascular damage above and below the knee with concomitant bone and
soft tissue injury; there was no tissue perfusion below the knee. On the right side
there was a large wound in the thigh extending anteriorly to the knee joint with
profuse bleeding; bony fragments could be seen in the wound and the right foot
was pale with no palpable pulses and slight reduction in sensation.

For how long will the lower limb tolerate ischemia?
A. 20-30 min
B. 90-120 min
C. 6-8 h
D. 16-20 h
E. 24-36 h",C,
15.5,case_studies,cs,lower extremity arterial disease,"A 40-year-old male was admitted to the emergency room approximately 1.5 h
after sustaining a blast injury to both lower limbs. He had been resuscitated at
his local accident and emergency department prior to transfer. On arrival, his
pulse was 120 bpm and his blood pressure 80/40 mmHg.
Examination revealed that the patient had sustained significant blast injuries
to both lower limbs with no obvious torso injuries. The left leg had sustained
neurovascular damage above and below the knee with concomitant bone and
soft tissue injury; there was no tissue perfusion below the knee. On the right side
there was a large wound in the thigh extending anteriorly to the knee joint with
profuse bleeding; bony fragments could be seen in the wound and the right foot
was pale with no palpable pulses and slight reduction in sensation.

The patient was resuscitated as per advanced trauma life support (ATLS) proto-
col. Supplementary oxygen was administered in addition to obtaining additional IV
access. Pressure dressings were applied to the open wounds and further assessment
revealed an injury to the patient 's right hand; no other significant injuries were pres-
ent. The patient was transferred to the operating theatre.

What are the primary aims of surgery in such a case? Select all that apply

A. To control life-threatening haemorrhage.
B. To prevent end-organ ischaemia.
C. To restore vascular continuity.
D. To preserve limb function.
E. To detect occult injuries.","A, B",
15.6,case_studies,cs,lower extremity arterial disease,"A 40-year-old male was admitted to the emergency room approximately 1.5 h
after sustaining a blast injury to both lower limbs. He had been resuscitated at
his local accident and emergency department prior to transfer. On arrival, his
pulse was 120 bpm and his blood pressure 80/40 mmHg.
Examination revealed that the patient had sustained significant blast injuries
to both lower limbs with no obvious torso injuries. The left leg had sustained
neurovascular damage above and below the knee with concomitant bone and
soft tissue injury; there was no tissue perfusion below the knee. On the right side
there was a large wound in the thigh extending anteriorly to the knee joint with
profuse bleeding; bony fragments could be seen in the wound and the right foot
was pale with no palpable pulses and slight reduction in sensation.

The patient was resuscitated as per advanced trauma life support (ATLS) proto-
col. Supplementary oxygen was administered in addition to obtaining additional IV
access. Pressure dressings were applied to the open wounds and further assessment
revealed an injury to the patient 's right hand; no other significant injuries were pres-
ent. The patient was transferred to the operating theatre.

What factors will influence the decision to perform an amputation?
A. Patient 's age
B. Mechanism of injury
C. Time to treatment
D. Degree of contamination
E. All of the above",E,
15.7,case_studies,cs,venuous disease,"Which of the following statements about complex vein repair are true? Select all that apply.

A. Complex vein repair should never be undertaken in the trauma patient.
B. Complex vein repair should only be performed in the absence of major arterial injury.
C. Complex vein repair should be used to improve venous return in unstable patients.
D. Complex vein repair may prevent long-term limb dysfunction.
E. Intraluminal venous shunting is an acceptable intraoperative temporising measure.","D, E",
15.8,case_studies,cs,lower extremity arterial disease,"A 40-year-old male was admitted to the emergency room approximately 1.5 h
after sustaining a blast injury to both lower limbs. He had been resuscitated at
his local accident and emergency department prior to transfer. On arrival, his
pulse was 120 bpm and his blood pressure 80/40 mmHg.
Examination revealed that the patient had sustained significant blast injuries
to both lower limbs with no obvious torso injuries. The left leg had sustained
neurovascular damage above and below the knee with concomitant bone and
soft tissue injury; there was no tissue perfusion below the knee. On the right side
there was a large wound in the thigh extending anteriorly to the knee joint with
profuse bleeding; bony fragments could be seen in the wound and the right foot
was pale with no palpable pulses and slight reduction in sensation.

The patient was resuscitated as per advanced trauma life support (ATLS) proto-
col. Supplementary oxygen was administered in addition to obtaining additional IV
access. Pressure dressings were applied to the open wounds and further assessment
revealed an injury to the patient 's right hand; no other significant injuries were pres-
ent. The patient was transferred to the operating theatre.

In the operating theatre, under general anaesthesia, the patient was placed in the
supine position. The lower abdomen and both legs were prepared and draped widely
and IV broad spectrum antibiotics were administered. Closer examination revealed
that the left leg had sustained extensive injuries. The foot and distal calf were cold,
pale and mottled. There was a compound injury to the left femur and tibia with
complete disruption of the superficial femoral artery, superficial femoral vein and
extensive injury to the sciatic nerve. It was decided that primary amputation of the
left limb was required. On examination of the right leg there was complete disrup-
tion of the distal superficial/popliteal artery, a ragged laceration of the popliteal vein
and significant bruising to branches of the sciatic nerve. There was a shrapnel injury
to the right hand involving the thumb and middle finger.

Immediate surgical steps were as follows: (a) a proximal thigh tourniquet was
placed on the left leg to arrest haemorrhage prior to formal amputation. The lacera-
tion to the right lower leg was then extended distally to facilitate exposure of the
neurovascular structures. Control of the superficial femoral and below-knee popli-
teal artery was obtained and a careful distal embolectomy performed. A Javid shunt
was then placed between the right superficial femoral artery and right below-knee
popliteal vessel. Significant bleeding from a large defect in the popliteal
vein occurred following shunt insertion; this was repaired using a lateral suture. The
long saphenous vein was harvested from the left leg, prior to performing above-
knee amputation. While the left above-knee amputation was being performed, the
orthopaedic surgeons carefully assessed the right lower limb and placed a tempo-
rary fixation device traversing the right knee joint. Having obtained bony stability, with an external fixator device, the temporary intraluminal shunt was
removed and a definitive bypass performed using reversed left long saphenous vein graft. Formal fasciotomy was performed of the right lower leg using a standard lat-
eral and medial approach; distal pulses were confirmed in the right foot. Further debridement of necrotic muscle was performed and the wound on the medial aspect
was partially closed; the anterolateral wounds were debrided and irrigated, as were
the fasciotomy sites, with sterile dressings being applied to both.

In the absence of obvious haemorrhage, when is it appropriate to reinspect the
wounds in the postoperative period?
A. 1-2 h
B. 4-6 h
C. 12-16 h
D. 24-48 h
E. 5+ days",D,
16.1,case_studies,cs,other,"A 19-year-old female was admitted to casualty following a road traffic collision. A
witness of the incident reported that she was driving her car at approximately
70 km/h in wet conditions and the car skidded off the road when she turned a sharp
bend. She collided with a tree and there were no other passengers involved. She
was found in her severely damaged car, drowsy and restrained by her seat belt and
the dashboard. The car windscreen had a ""bulls-eye"" on the driver 's side and she
had a laceration to her forehead, which was bleeding profusely. She complained of
difficulty in breathing and pain in her chest, abdomen and an obviously deformed
right leg. The paramedics attended the scene with the fire-service who helped
extricate her form the wreckage then carefully immobilized her cervical spine.
She was immediately transported by helicopter to the nearest emergency
department. There she was treated by the duty surgical trauma team.

Which of the following interventions should be performed by the paramedics as
their initial management?
A. Reduction, splinting and immobilization of her right femur fracture
B. Intravenous cannulation and bolus fluid administration
C. High flow oxygen administration
D. Administration of analgesia",C,
16.2,case_studies,cs,aortic disorders,"A 19-year-old female was admitted to casualty following a road traffic collision. A
witness of the incident reported that she was driving her car at approximately
70 km/h in wet conditions and the car skidded off the road when she turned a sharp
bend. She collided with a tree and there were no other passengers involved. She
was found in her severely damaged car, drowsy and restrained by her seat belt and
the dashboard. The car windscreen had a ""bulls-eye"" on the driver 's side and she
had a laceration to her forehead, which was bleeding profusely. She complained of
difficulty in breathing and pain in her chest, abdomen and an obviously deformed
right leg. The paramedics attended the scene with the fire-service who helped
extricate her form the wreckage then carefully immobilized her cervical spine.
She was immediately transported by helicopter to the nearest emergency
department. There she was treated by the duty surgical trauma team.

Primary examination in casualty revealed a patent airway as she was talking but
she was short of breath. Her trachea was deviated to the right side, the left chest
was hyper-resonant and devoid of breath sounds. Hemodynamically her heart rate
was raised (109 beats/min) and blood pressure (120/75 mmHg) was within normal
limits. Her abdomen was tender in the left hypochondrium and right femur had an
open mid-shaft fracture. Routine trauma blood investigations were requested.
Neurologically she was drowsy and becoming increasingly confused.

Which is the most appropriate initial investigation required?
A. Computerized tomography of her head and neck
B. Plain radiographs of the pelvis and right femur
C. Computerized tomography of her abdomen and pelvis
D. Plain portable chest radiograph",D,
16.3,case_studies,cs,aortic disorders,"A 19-year-old female was admitted to casualty following a road traffic collision. A
witness of the incident reported that she was driving her car at approximately
70 km/h in wet conditions and the car skidded off the road when she turned a sharp
bend. She collided with a tree and there were no other passengers involved. She
was found in her severely damaged car, drowsy and restrained by her seat belt and
the dashboard. The car windscreen had a ""bulls-eye"" on the driver 's side and she
had a laceration to her forehead, which was bleeding profusely. She complained of
difficulty in breathing and pain in her chest, abdomen and an obviously deformed
right leg. The paramedics attended the scene with the fire-service who helped
extricate her form the wreckage then carefully immobilized her cervical spine.
She was immediately transported by helicopter to the nearest emergency
department. There she was treated by the duty surgical trauma team.

Primary examination in casualty revealed a patent airway as she was talking but
she was short of breath. Her trachea was deviated to the right side, the left chest
was hyper-resonant and devoid of breath sounds. Hemodynamically her heart rate
was raised (109 beats/min) and blood pressure (120/75 mmHg) was within normal
limits. Her abdomen was tender in the left hypochondrium and right femur had an
open mid-shaft fracture. Routine trauma blood investigations were requested.
Neurologically she was drowsy and becoming increasingly confused.

Her heart rate further increased (120 beats/min) and blood pressure reduced
(110/65 mmHg). She was visibly more confused and breathing was more labored,
whilst her abdomen had also become distended. Hemodynamically she was a tran-
sient responder to a bolus intravenous fluid replacement.


Which is the most appropriate immediate intervention required?
A. Chest drain insertion
B. Emergency laparotomy and damage control surgery
C. Reduction, splinting and immobilization of her right femur fracture
D. Diagnostic peritoneal lavage",A,
16.4,case_studies,cs,aortic disorders,"A 19-year-old female was admitted to casualty following a road traffic collision. A
witness of the incident reported that she was driving her car at approximately
70 km/h in wet conditions and the car skidded off the road when she turned a sharp
bend. She collided with a tree and there were no other passengers involved. She
was found in her severely damaged car, drowsy and restrained by her seat belt and
the dashboard. The car windscreen had a ""bulls-eye"" on the driver 's side and she
had a laceration to her forehead, which was bleeding profusely. She complained of
difficulty in breathing and pain in her chest, abdomen and an obviously deformed
right leg. The paramedics attended the scene with the fire-service who helped
extricate her form the wreckage then carefully immobilized her cervical spine.
She was immediately transported by helicopter to the nearest emergency
department. There she was treated by the duty surgical trauma team.

Primary examination in casualty revealed a patent airway as she was talking but
she was short of breath. Her trachea was deviated to the right side, the left chest
was hyper-resonant and devoid of breath sounds. Hemodynamically her heart rate
was raised (109 beats/min) and blood pressure (120/75 mmHg) was within normal
limits. Her abdomen was tender in the left hypochondrium and right femur had an
open mid-shaft fracture. Routine trauma blood investigations were requested.
Neurologically she was drowsy and becoming increasingly confused.

Her heart rate further increased (120 beats/min) and blood pressure reduced
(110/65 mmHg). She was visibly more confused and breathing was more labored,
whilst her abdomen had also become distended. Hemodynamically she was a tran-
sient responder to a bolus intravenous fluid replacement.

Chest imaging revealed a widened mediastinum and left tension pneumothorax.

Immediate left chest needle decompression revealed a ""whoosh of air"" and the tra-
chea centralized. Consequently a left chest drain was inserted. The patient was becoming more confused and combative with a reducing Glasgow
Coma Scale (GCS 7), so was intubated and sedated. Initial blood results revealed a
low hemoglobin, however her hemodynamics had returned to values within normal
ranges with a continuous fluid infusion and whole blood transfusion. A plain pelvic
radiograph and clinical examination were normal.

Which investigation or treatment should be performed next?

A. Plain radiographs of the right femur then reduction, splinting and immobilization of her right femur fracture
B. Computerized tomography of head, neck, chest, abdomen and pelvis
C. Emergency laparotomy and damage control surgery
D. Diagnostic angiography",B,
16.6,case_studies,gk,endovascular surgery,"Which of the following are favorable features for thoracic endovascular aortic stent
graft access? Select all that apply
A. Tortuous iliac arteries
B. Iliac diameter < 7 mm
C. Suitable anatomy for conduit formation
D. Patent femoral arteries
E. Calcified iliac arteries","C, D",
16.7,case_studies,gk,aortic disorders,"Which of the following is a favorable feature for thoracic endovascular aortic stent
deployment? Select all that apply
A. Bovine aortic arch
B. Aortic diameter < 18 mm
C. Transection is proximal to left subclavian artery
D. Patent vertebral arteries
E. Acute angulated aortic arch","A, D",
16.8,case_studies,gk,aortic disorders,"Which of the following are potential complications of thoracic aortic endovascular
stent repair? Select all that apply
A. Stroke
B. Aortic rupture
C. Paraplegia
D. Aortic thrombosis
E. Graft infolding
F. Graft collapse","A, B, C, D, E, F",
16.9,case_studies,gk,aortic disorders,"What imaging modality is usually employed for thoracic aortic stent surveillance?
A. Thoracic computerized tomography
B. Chest radiography only
C. Diagnostic subtraction angiography
D. Intravascular ultrasound
E. Echocardiography",A,
17.1,case_studies,cs,lower extremity arterial disease,"A 62-year-old man with intermittent claudication was referred for vascular
risk factor modification. He had no history of myocardial infarction (MI) or
stroke. He was smoking 20 cigarettes/day. His family history was negative for
premature vascular events in first degree relatives. He was not taking any
medication. He was advised to start aspirin 75 mg/day, but he stopped taking
these tablets because of ""stomach discomfort"". The patient 's total cholesterol
was 228 mg/dL (5.9 mmol/L). His blood pressure required treatment with
amlodipine and a thiazide diuretic. The patient eventually stopped smoking
after referral to the smoking cessation clinic in our hospital.

Which of the following investigations would you order? Select all that apply.
A. Fasting plasma glucose.
B. Urine glucose to make a diagnosis of diabetes mellitus.
C. Fasting serum triglycerides.
D. Fasting serum high-density lipoprotein cholesterol (HDL-C).
E. Thyroid function tests.","A, C, D, E",
17.2,case_studies,cs,lower extremity arterial disease,"A 62-year-old man with intermittent claudication was referred for vascular
risk factor modification. He had no history of myocardial infarction (MI) or
stroke. He was smoking 20 cigarettes/day. His family history was negative for
premature vascular events in first degree relatives. He was not taking any
medication. He was advised to start aspirin 75 mg/day, but he stopped taking
these tablets because of ""stomach discomfort"". The patient 's total cholesterol
was 228 mg/dL (5.9 mmol/L). His blood pressure required treatment with
amlodipine and a thiazide diuretic. The patient eventually stopped smoking
after referral to the smoking cessation clinic in our hospital.

What drug would you use as a first-line medication to treat this patient 's dyslipidaemia?
A. Statins
B. Fibrates
C. Diet only
D. Ezetimibe
E. None of the above
F. All of the above",A,
17.3,case_studies,cs,lower extremity arterial disease,"A 62-year-old man with intermittent claudication was referred for vascular
risk factor modification. He had no history of myocardial infarction (MI) or
stroke. He was smoking 20 cigarettes/day. His family history was negative for
premature vascular events in first degree relatives. He was not taking any
medication. He was advised to start aspirin 75 mg/day, but he stopped taking
these tablets because of ""stomach discomfort"". The patient 's total cholesterol
was 228 mg/dL (5.9 mmol/L). His blood pressure required treatment with
amlodipine and a thiazide diuretic. The patient eventually stopped smoking
after referral to the smoking cessation clinic in our hospital.

Which of the following is a correct target level?
A. LDL-C <70 mg/dL (<1.8 mmol/L)
B. LDL-C <100 mg/dL (<2.6 mmol/L)
C. Total cholesterol <200 mg/dL (<5.2 mmol/L)
D. HDL-C >40 mg/dL (>1.0 mmol/L)
E. Triglycerides <150 mg/dL (<1.7 mmol/L)",A,
17.4,case_studies,cs,lower extremity arterial disease,"A 62-year-old man with intermittent claudication was referred for vascular
risk factor modification. He had no history of myocardial infarction (MI) or
stroke. He was smoking 20 cigarettes/day. His family history was negative for
premature vascular events in first degree relatives. He was not taking any
medication. He was advised to start aspirin 75 mg/day, but he stopped taking
these tablets because of ""stomach discomfort"". The patient 's total cholesterol
was 228 mg/dL (5.9 mmol/L). His blood pressure required treatment with
amlodipine and a thiazide diuretic. The patient eventually stopped smoking
after referral to the smoking cessation clinic in our hospital.

What modifiable risk factors/medications would you like to address in a high-risk
patient, as in this case?
A. Smoking and lifestyle factors
B. Antiplatelet agents
C. Blood pressure
D. Glucose
E. Lipids
F. Emergiing risk factors
G. All of the above
H. Other",G,
17.5,case_studies,cs,lower extremity arterial disease,"A 62-year-old man with intermittent claudication was referred for vascular
risk factor modification. He had no history of myocardial infarction (MI) or
stroke. He was smoking 20 cigarettes/day. His family history was negative for
premature vascular events in first degree relatives. He was not taking any
medication. He was advised to start aspirin 75 mg/day, but he stopped taking
these tablets because of ""stomach discomfort"". The patient 's total cholesterol
was 228 mg/dL (5.9 mmol/L). His blood pressure required treatment with
amlodipine and a thiazide diuretic. The patient eventually stopped smoking
after referral to the smoking cessation clinic in our hospital.

Renal function
A. It is relevant to monitor renal function in this patient because about a third of patients with PAD also have atherosclerotic renal artery stenosis, the majority of patients with PAD patients also have parenchymal renal disease, and renal and vascular disease progress in parallel
B. It is not important to monitor renal function in this patient.
C. Statins exert a renoprotective action in patients with PAD.
D. All of the above.
E. Only A and C are correct.",E,
18.1,case_studies,cs,lower extremity arterial disease,"A 63-year-oldman presents with a history of worsening pain in his left buttock,
thigh and calf on walking. During the preceding 3 months, following the introduc-
tion of a beta-blocker for newly diagnosed hypertension, the distance he could
walk at a ""normal"" pace had reduced from 200 to 100 m. The pain ceased almost
immediately after stopping walking and appeared again after the same interval. A
systemic enquiry revealed recently diagnosed hypertension and life-long history of
heavy smoking. He had never experienced cerebro-vascular or cardiac symptoms.
Clinical examination revealed sinus rhythm, full upper limb pulses, a dimin-
ished left femoral pulse and absent left popliteal and pedal pulses. The right leg
pulses were normal. Both feet appeared well perfused. No bruits were audible
in the abdomen or groins. The abdominal aorta was not aneurismal. Ankle
pressure brachial indices were 0.74 on the left and 0.93 on the right at rest. On
treadmill walking for 100 m the left ankle pressure fell to 0.49.

Which of the following would be part of your initial management of this patient? Select all that apply.
A. A prescription for nicotine replacement therapy.
B. A prescription for warfarin.
C. A prescription for aspirin.
D. A prescription for a statin.
E. Stopping the beta-blocker.","A, C, D, E",
